pitch_type,video_link,category
SL,https://baseballsavant.mlb.com/sporty-videos?playId=a613ce38-2c71-3266-b10c-064860299b17,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=fa7e2763-91a6-3c96-9828-4e31f9cd6774,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=fdd15082-f232-3584-a52e-e537916042a9,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=cb004ded-c8bd-3010-bc98-4e0459315977,Breaking
CU,https://baseballsavant.mlb.com/sporty-videos?playId=7bdddfa7-c566-3a50-a87c-cc7eb273b0cd,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=26bee503-460b-3a5e-b4fc-2f0149aa5baf,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=54b96169-701b-3624-bd78-e6fcc064767f,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=1b25b5cb-95c8-3837-bb2c-8c49e6c2b3d9,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=51bf3fc3-7949-30be-ac51-9e56f57ee5d8,Offspeed
CU,https://baseballsavant.mlb.com/sporty-videos?playId=fa987fe4-b20f-3514-8e82-1ffe276d1c8f,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=7ad7549d-b52b-3caf-b75d-820098fc93d7,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=e30ae201-f72f-3527-a928-bb880fbf0d73,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=45b6e34c-42f5-39ed-aae3-23505e5085f2,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=08804c76-521f-3ef2-80bc-ba8ef5527c76,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=96a956d9-497e-3a2a-bd87-3bbf56c3c0d9,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=5e755557-5018-371a-95fc-a22c0ba64993,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=352c4964-fb2f-30a7-8ad3-6a7cc57c8876,Offspeed
CU,https://baseballsavant.mlb.com/sporty-videos?playId=c78c7e95-91bd-35a7-8080-d3fc219aacc2,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=931f33dc-d359-34c4-b96e-ca521f28d7b6,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=ed50bfce-86d1-3815-b6b4-1c6f66dbe6f5,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=11f4c754-7d13-3a14-8bee-c40b78a2ba44,Offspeed
CU,https://baseballsavant.mlb.com/sporty-videos?playId=d05ff890-e898-3fb3-a18e-f898124ca4a1,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=a4f933f6-ab38-3dd1-b6ba-b0f94313e9c3,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=97be5089-7afe-3c94-951f-f3ae4151fc62,Offspeed
CU,https://baseballsavant.mlb.com/sporty-videos?playId=592753c5-841e-35b7-9b3b-a13001ebac4b,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=9e460648-7c60-37bb-8ecc-ca9b03e05af7,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=ba061ee1-59a6-30d4-9e37-2f159fbe1eeb,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=fc5140c9-3043-3fad-896d-9b984176a9ad,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=95e79dca-5eae-3e70-9835-7694cf166772,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=c6010e28-b82e-3a3f-8ded-c17f88f8668f,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=4905b631-fbd1-305d-8d3c-e160e5fba79c,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=9af747fe-320e-3d39-8e46-e3ef7ad12939,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=b115ba4f-465c-3c6e-a451-dd2f30114e81,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=4967c47c-44ba-35bc-b112-c09683793a2e,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=337b7df4-f4b7-3395-902b-914d603a4f1f,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=02eec1b1-41f7-3847-a735-4c6e631aaa2b,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=e54da7f9-7d46-3939-9258-afb3e336daeb,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=3ea113bc-c0ed-3f21-ad98-68f8c9c92351,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=db6fd6c2-2058-39dd-8fad-b3b057247acb,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=4fecb6c0-f94f-36fd-99f8-54580e7443d1,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=6231487e-4296-3ecf-9317-1aa07d25dee9,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=d45672e9-919d-36a7-9c3b-7469b0287301,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=3197985f-9313-3e0e-869c-a8b49492c0da,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=331ab3e7-fe6b-38c3-8ea9-8eb890bd14f7,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=668699cb-03cc-3986-9860-9dc6582597b7,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=f1c586fd-08d7-3cb6-8ed2-47c7c1038da8,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=bf677551-e7b0-3229-b7f7-018cb4609b48,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=0f388f4c-7814-35b3-afe6-e80fbac065ba,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=b602fe28-e0ec-3e32-afa9-4eb1a09a76d5,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=37cbe745-d628-3a20-a2e1-443d46fe48fd,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=ce5b99d9-69be-3252-8136-0eb41b722672,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=fd831a44-fa9b-384e-8142-03aa4921d270,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=0902077f-5d67-38dc-847a-3b31d700546f,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=e284202c-f225-3f83-ae47-f663b3e9350e,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=2d5e98e3-523d-3764-a48d-19e531c7921a,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=c8be6285-3e3e-328d-9bd6-304b7d5618ac,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=d8a16bea-1e14-3731-a8b2-b898e7effba2,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=32fb6bfc-36ab-3f94-ba08-fb7737fc91a6,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=895ba818-b38e-39d7-bb3d-35edce82a286,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=4cb951ce-1b65-320b-980b-043ada566c0b,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=8f4a606f-e475-3f2b-9a07-35ed7e0192e8,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=437a67e1-d8c4-390c-8dd5-e0c7d211b17f,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=e37f604d-fa98-39a0-b182-a2752bc3abd2,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=17d75071-3469-3cef-9e05-993981c1f4ba,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=536a0ed4-98f1-36bc-9213-8db73248fdf5,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=66da72dd-4ed8-3cd5-b4cc-9e6e8ccb7ffd,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=4bec8c3b-8190-3942-82aa-ae3c13598069,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=30eaac78-df6f-3563-a34e-0e72e0e563ad,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=40094d2d-c24b-392e-b7eb-621c04b51b4d,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=a584fc3a-76de-361f-a9a0-4cbdce8ea996,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=1008ad40-cd1a-3c0e-a1c0-3e8cd90430c0,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=3cf5bd8a-971c-31aa-ab21-67e9f11ebcb8,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=0a559044-b7e9-3fba-bb3b-fdd5c62d1d1c,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=d2ff77a3-21e6-3376-a9c4-1a4d5fa0e480,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=07132761-4856-3ec5-acfe-9b1446461db9,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=f297a8c6-50c4-345e-8c56-8b2d4d7682f7,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=22b47600-4961-32e9-a15b-8a2e5b2a1cf2,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=31b52d85-ec7b-32fb-bd36-a6a9db187679,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=468f116b-4d9c-3232-9a51-bd9aaf7f8c3f,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=4d88ff16-ce0f-3ac1-a783-3bc3cabd8ed7,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=10b0d95a-b41d-39fe-b27b-2c1d9ed11581,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=3b675dff-8ebf-397a-8ca7-4ed72fa8f6e0,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=68314756-9d91-353c-ad9d-bb489aa62101,Offspeed
CH,https://baseballsavant.mlb.com/sporty-videos?playId=2788232d-6752-3264-86e7-6dcd78e9a4c4,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=5e3ef4b9-d7ef-3b0d-a996-60174cf808f6,Fastball
